make_model,body_type,price,vat,km,previous_owners,next_inspection,inspection_new,body_color,paint_type,nr_of_doors,nr_of_seats,gearing_type,cylinders,drive_chain,fuel,emission_class,comfort_convenience,entertainment_media,extras,safety_security,gears,displacement_cc,age_years,hp_kw,condition,warranty_months,upholstery_type,upholstery_color,weight_kg,combined_l_per_100km,city_l_per_100km,country_l_per_100km,emissions_g_co2/km
Audi A1,Sedans,18500,VAT deductible,11300.0,1.0,2022-05,No,Black,metallic,3.0,4.0,Automatic,4.0,front,Diesel,Euro 6,"Air conditioning,Multi-function steering wheel,Power windows","Bluetooth,CD player,Hands-free equipment,MP3,On-board computer,Radio,USB","Alloy wheels,Shift paddles","ABS,Central door lock,Daytime running lights,Driver-side airbag,Electronic stability control,Immobilizer,Isofix,LED Headlights,Passenger-side airbag,Power steering,Side airbag,Traction control,Xenon headlights",7.0,1598.0,1.0,85.0,Used,0.0,Cloth,Black,1250.0,4.0,4.6,3.6,105.0
Audi A1,Sedans,17990,VAT nondeductible,26415.0,1.0,2020-05,Yes,Silver,uni/basic,4.0,5.0,Automatic,4.0,front,Benzine,Euro 6,"Air conditioning,Automatic climate control,Electrical side mirrors,Hill Holder,Leather steering wheel,Light sensor,Lumbar support,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system sensors front,Parking assist system sensors rear,Power windows,Rain sensor,Seat heating,Start-stop system","CD player,Hands-free equipment,On-board computer,Radio,USB","Alloy wheels,Sport seats","ABS,Central door lock,Daytime running lights,Driver-side airbag,Electronic stability control,Fog lights,Immobilizer,Isofix,Passenger-side airbag,Power steering,Side airbag,Traction control,Xenon headlights",7.0,1395.0,3.0,92.0,Used,0.0,Cloth,Black,1166.0,4.9,6.2,4.2,112.0
Audi A1,Sedans,18380,VAT nondeductible,31600.0,1.0,2019-09,No,White,metallic,5.0,5.0,Automatic,4.0,front,Benzine,Euro 6,"Air conditioning,Armrest,Automatic climate control,Electrical side mirrors,Hill Holder,Leather steering wheel,Light sensor,Lumbar support,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system sensors front,Parking assist system sensors rear,Power windows,Rain sensor,Seat heating,Start-stop system","Bluetooth,CD player,Hands-free equipment,MP3,On-board computer,Radio,USB","Alloy wheels,Catalytic Converter,Sport package,Sport seats,Sport suspension,Voice Control","ABS,Central door lock,Daytime running lights,Driver-side airbag,Electronic stability control,Fog lights,Immobilizer,Isofix,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system,Traction control,Xenon headlights",7.0,1395.0,3.0,92.0,Used,0.0,Part leather,Black,1215.0,4.9,6.2,4.2,112.0
Audi A1,Sedans,18399,VAT nondeductible,45764.0,1.0,2020-06,No,Grey,metallic,3.0,4.0,Automatic,3.0,front,Benzine,Euro 6,"Air conditioning,Automatic climate control,Cruise control,Electrical side mirrors,Light sensor,Multi-function steering wheel,Navigation system,Park Distance Control,Power windows,Rain sensor,Split rear seats","Bluetooth,On-board computer,Radio","Alloy wheels,Sport seats,Sport suspension","ABS,Adaptive headlights,Central door lock,Daytime running lights,Driver-side airbag,Electronic stability control,Fog lights,Immobilizer,Isofix,Passenger-side airbag,Side airbag,Traction control,Xenon headlights",7.0,1395.0,3.0,112.0,Used,12.0,Cloth,Black,1155.0,5.2,6.2,4.2,113.0
Audi A1,Sedans,17990,VAT deductible,34914.0,1.0,2019-10,No,Black,metallic,5.0,4.0,Automatic,3.0,front,Benzine,Euro 6,"Air conditioning,Automatic climate control,Cruise control,Electrical side mirrors,Hill Holder,Leather steering wheel,Light sensor,Lumbar support,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system sensors rear,Power windows,Rain sensor,Seat heating,Start-stop system","Bluetooth,CD player,Hands-free equipment,On-board computer,Radio","Alloy wheels,Sport seats,Sport suspension","ABS,Central door lock,Daytime running lights,Driver-side airbag,Electronic stability control,Fog lights,Immobilizer,Isofix,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system,Traction control,Xenon headlights",7.0,999.0,3.0,70.0,Used,0.0,Cloth,Black,1135.0,4.2,5.0,3.7,99.0
Audi A1,Sedans,18700,VAT deductible,27000.0,1.0,2020-04,No,Grey,metallic,5.0,4.0,Automatic,4.0,front,Diesel,Euro 6,"Air conditioning,Armrest,Cruise control,Electrical side mirrors,Leather steering wheel,Multi-function steering wheel,Navigation system,Park Distance Control,Parking assist system sensors rear,Power windows,Start-stop system","Bluetooth,CD player,Hands-free equipment,MP3,On-board computer,Radio,USB",Alloy wheels,"ABS,Central door lock,Daytime running lights,Driver-side airbag,Electronic stability control,Fog lights,Immobilizer,Isofix,Passenger-side airbag,Power steering,Side airbag,Traction control",7.0,1598.0,3.0,85.0,Employee's car,12.0,Cloth,Grey,1275.0,3.7,4.3,3.4,97.0
Audi A1,Sedans,18900,VAT deductible,9752.0,1.0,2022-06,No,Blue,metallic,5.0,4.0,Automatic,4.0,front,Diesel,Euro 6,"Air conditioning,Leather steering wheel,Power windows","CD player,MP3,Radio","Alloy wheels,Sport package,Sport seats","Central door lock,Driver-side airbag,Electronic stability control,Isofix,Passenger-side airbag,Power steering,Side airbag,Traction control",5.0,1598.0,1.0,85.0,Used,0.0,Cloth,Black,1175.0,3.5,4.3,3.1,92.0
Audi A1,Sedans,18500,VAT deductible,28408.0,1.0,2021-11,No,White,metallic,5.0,5.0,Automatic,3.0,front,Diesel,Euro 6,"Air conditioning,Automatic climate control,Cruise control,Electrical side mirrors,Leather steering wheel,Park Distance Control,Parking assist system sensors rear,Power windows,Rain sensor,Seat heating,Split rear seats,Start-stop system","Bluetooth,CD player,Hands-free equipment,MP3,On-board computer,Radio","Alloy wheels,Sport package","ABS,Alarm system,Central door lock,Central door lock with remote control,Daytime running lights,Driver-side airbag,Electronic stability control,Head airbag,Isofix,Passenger-side airbag,Power steering,Side airbag",7.0,1422.0,2.0,66.0,Used,0.0,Cloth,Black,1220.0,3.8,4.3,3.5,99.0
Audi A1,Compact,18400,VAT deductible,50280.0,1.0,2020-07,No,Black,metallic,5.0,5.0,Automatic,3.0,front,Benzine,Euro 6,"Air conditioning,Armrest,Automatic climate control,Cruise control,Electrical side mirrors,Leather steering wheel,Multi-function steering wheel,Navigation system,Power windows,Rain sensor","Bluetooth,CD player,Hands-free equipment,On-board computer,Radio",Alloy wheels,"ABS,Central door lock,Daytime running lights,Driver-side airbag,Electronic stability control,Fog lights,Isofix,LED Daytime Running Lights,Passenger-side airbag,Power steering,Tire pressure monitoring system,Xenon headlights",7.0,999.0,3.0,70.0,Used,6.0,Cloth,Grey,1065.0,4.5,5.5,3.9,103.0
Audi A1,Sedans,18500,VAT deductible,13406.0,1.0,2022-05,No,Black,metallic,5.0,5.0,Automatic,4.0,front,Diesel,Euro 6,"Air conditioning,Armrest,Auxiliary heating,Electrically heated windshield,Electrical side mirrors,Hill Holder,Leather steering wheel,Multi-function steering wheel,Navigation system,Power windows,Start-stop system","Bluetooth,CD player,Hands-free equipment,MP3,On-board computer,Radio","Alloy wheels,Catalytic Converter,Shift paddles,Voice Control","Alarm system,Central door lock,Daytime running lights,Driver-side airbag,Isofix,LED Daytime Running Lights,Passenger-side airbag,Power steering,Side airbag,Tire pressure monitoring system,Traction control,Xenon headlights",7.0,1598.0,1.0,85.0,Used,0.0,Cloth,Black,1215.0,3.8,4.6,3.3,99.0
